tick,baseline_action,ghost_action
1,investigate,engage
2,investigate,engage
3,investigate,engage
4,investigate,engage
5,investigate,engage
6,investigate,engage
8,investigate,engage
9,investigate,engage
10,investigate,engage
11,investigate,engage
12,investigate,engage
13,investigate,engage
15,investigate,engage
16,investigate,engage
17,investigate,engage
18,investigate,engage
19,investigate,engage
20,investigate,engage
22,investigate,engage
23,investigate,engage
24,investigate,engage
25,investigate,engage
26,investigate,engage
27,investigate,engage
29,investigate,engage
30,investigate,engage
31,investigate,engage
32,investigate,engage
33,investigate,engage
34,investigate,engage
36,investigate,engage
37,investigate,engage
38,investigate,engage
39,investigate,engage
40,investigate,engage
41,investigate,engage
43,investigate,engage
44,investigate,engage
45,investigate,engage
46,investigate,engage
47,investigate,engage
48,investigate,engage

Total divergent ticks: 42
